Relative_Density,Machine_Type,Laser_Power,Laser_Speed,Hatch_Spacing,Layer_Thickness,Powder_Size,Laser_Energy,Machine_Type_Concept Laser M2,Machine_Type_Concept laser M,Machine_Type_Concept laser M3,Machine_Type_EOS M270,Machine_Type_SLM,Machine_Type_SLM 125 HL,Machine_Type_SLM 250 HL,Machine_Type_SLM 280 HL,Machine_Type_Self-developed SLM,Machine_Type_Trumpf LF250
99.85,Concept Laser M2,190,1500,75,20,32,84.4,1,0,0,0,0,0,0,0,0,0
99,EOS M270,40,120,95,30,30,115,0,0,0,1,0,0,0,0,0,0
98.53,SLM 125 HL,60,500,80,30,35,50,0,0,0,0,0,1,0,0,0,0
99.63,Concept Laser M2,200,850,75,40,35,78.43,1,0,0,0,0,0,0,0,0,0
97.5,EOS M270,160,370,95,30,30,150,0,0,0,1,0,0,0,0,0,0
98.5,Self-developed SLM,42,200,100,30,30,71,0,0,0,0,0,0,0,0,1,0
99.1,EOS M270,120,540,100,30,30,74,0,0,0,1,0,0,0,0,0,0
99.75,SLM 125 HL,100,300,120,30,35,92.6,0,0,0,0,0,1,0,0,0,0
99.5,Concept Laser M2,100,800,75,30,42,55.56,1,0,0,0,0,0,0,0,0,0
97.71,SLM 125 HL,50,300,90,30,32,61.7,0,0,0,0,0,1,0,0,0,0
99.96,SLM 250 HL,175,600,85,30,42,114,0,0,0,0,0,0,1,0,0,0
99.39,SLM 125 HL,60,300,80,30,32,83.3,0,0,0,0,0,1,0,0,0,0
99.7,SLM 125 HL,70,400,100,30,35,58.3,0,0,0,0,0,1,0,0,0,0
95.66,SLM 125 HL,60,600,80,30,32,41.7,0,0,0,0,0,1,0,0,0,0
99.6,SLM 250 HL,375,1029,120,60,32,50.62,0,0,0,0,0,0,1,0,0,0
96.2,EOS M270,120,1440,95,30,30,29.24,0,0,0,1,0,0,0,0,0,0
99.5,SLM 250 HL,375,1029,120,60,35,50.62,0,0,0,0,0,0,1,0,0,0
98.5,Concept Laser M2,100,600,75,30,42,74.1,1,0,0,0,0,0,0,0,0,0
96,Self-developed SLM,42,200,50,30,35,140,0,0,0,0,0,0,0,0,1,0
99,SLM,50,120,120,50,16.6,69.4,0,0,0,0,1,0,0,0,0,0
100,EOS M270,160,1070,95,30,30,50,0,0,0,1,0,0,0,0,0,0
90,SLM,110,100,40,50,18.35,550,0,0,0,0,1,0,0,0,0,0
99.4,Concept Laser M2,100,800,105,30,42,39.7,1,0,0,0,0,0,0,0,0,0
99.75,SLM 125 HL,100,300,120,30,32,92.6,0,0,0,0,0,1,0,0,0,0
99.23,SLM 125 HL,70,400,70,30,32,83.3,0,0,0,0,0,1,0,0,0,0
98.48,SLM 125 HL,80,500,90,30,35,59.3,0,0,0,0,0,1,0,0,0,0
99.88,Concept Laser M2,200,1250,75,40,35,53.33,1,0,0,0,0,0,0,0,0,0
99.5,SLM 250 HL,175,1000,100,30,42,58,0,0,0,0,0,0,1,0,0,0
94.3,EOS M270,120,1530,95,30,30,27.52,0,0,0,1,0,0,0,0,0,0
99.2,EOS M270,40,220,95,30,30,55,0,0,0,1,0,0,0,0,0,0
90,SLM,110,100,40,50,20,550,0,0,0,0,1,0,0,0,0,0
99.94,Concept Laser M2,200,1500,75,40,35,44.44,1,0,0,0,0,0,0,0,0,0
99.7,Self-developed SLM,250,1600,60,30,21,86.81,0,0,0,0,0,0,0,0,1,0
94,EOS M270,120,370,95,30,30,115,0,0,0,1,0,0,0,0,0,0
97.61,Concept laser M,95,300,77,25,20,164.5,0,1,0,0,0,0,0,0,0,0
99.7,EOS M270,120,1070,95,30,30,40,0,0,0,1,0,0,0,0,0,0
99.53,SLM 125 HL,90,600,70,30,32,71.4,0,0,0,0,0,1,0,0,0,0
99.7,EOS M270,120,1080,95,30,30,38.99,0,0,0,1,0,0,0,0,0,0
99.9,SLM 250 HL,133,600,100,30,42,74,0,0,0,0,0,0,1,0,0,0
89.7,EOS M270,80,1440,95,30,30,19.49,0,0,0,1,0,0,0,0,0,0
99.6,SLM 250 HL,175,710,120,30,32,68.5,0,0,0,0,0,0,1,0,0,0
98.53,SLM 125 HL,60,500,80,30,32,50,0,0,0,0,0,1,0,0,0,0
67.7,SLM,110,1200,40,50,18.35,46,0,0,0,0,1,0,0,0,0,0
99.9,EOS M270,120,840,95,30,30,50.13,0,0,0,1,0,0,0,0,0,0
99.6,EOS M270,120,600,95,30,30,70.18,0,0,0,1,0,0,0,0,0,0
99.23,SLM 125 HL,70,400,70,30,35,83.3,0,0,0,0,0,1,0,0,0,0
99.5,EOS M270,186,1200,80,30,30,64.58,0,0,0,1,0,0,0,0,0,0
99.7,SLM 125 HL,100,500,120,30,32,55.6,0,0,0,0,0,1,0,0,0,0
91.2,EOS M270,80,1330,95,30,30,21.11,0,0,0,1,0,0,0,0,0,0
95.1,SLM 125 HL,50,300,120,30,35,46.3,0,0,0,0,0,1,0,0,0,0
97.71,SLM 125 HL,50,300,90,30,35,61.7,0,0,0,0,0,1,0,0,0,0
99.9,SLM 250 HL,145,600,100,30,42,81,0,0,0,0,0,0,1,0,0,0
